2 2
0.937672 1.367750 -0.262347
0.723200 0.938085 -1.537096
0.708571 0.903866 -1.830351
0.649084 0.910332 -1.887372
0.586612 0.993698 -1.802150
0.501556 1.088419 -1.609316
0.424479 1.255877 -1.212761
0.414273 1.277620 -1.273096
0.424553 1.278562 -1.195195
0.374209 1.343745 -1.163027
0.432070 1.235563 -1.260883
0.401179 1.271509 -1.295010
0.414727 1.246351 -1.358513
0.437344 1.217362 -1.419393
0.406498 1.238517 -1.388708
0.455289 1.213137 -1.338114
0.430544 1.213475 -1.459793
0.453726 1.178144 -1.604728
0.488287 1.084045 -1.698815
0.436341 1.162350 -1.608486
0.474620 1.096173 -1.711472
0.432255 1.178867 -1.636700
0.457902 1.139913 -1.683250
0.430463 1.180821 -1.572362
0.481868 1.116571 -1.751000
0.456176 1.135751 -1.677228
0.463691 1.106676 -1.736721
0.464476 1.121635 -1.656580
0.432391 1.163754 -1.678374
0.463165 1.114319 -1.677540
0.489266 1.089596 -1.708508
0.473097 1.123686 -1.688546
0.475571 1.131253 -1.620806
0.431027 1.176712 -1.598704
0.474715 1.123107 -1.641548
0.461054 1.128069 -1.670193
0.444531 1.173167 -1.522434
0.435408 1.190785 -1.597380
0.472103 1.161167 -1.622926
0.462876 1.143783 -1.639507
0.451383 1.147857 -1.537753
0.469973 1.117261 -1.647369
0.499839 1.131560 -1.679584
0.433047 1.197491 -1.611023
0.391493 1.303389 -1.197163
0.379291 1.410417 -0.975658
0.339278 1.397071 -1.066532
0.367261 1.459663 -0.930873
0.388282 1.313759 -1.098819
0.350626 1.428943 -0.852372
0.351251 1.390737 -0.999376
0.357870 1.414529 -0.890075
0.338117 1.441840 -0.779676
0.366930 1.390216 -0.862116
0.324629 1.483910 -0.756938
0.353202 1.412271 -0.851164
0.352995 1.434353 -0.795632
0.324578 1.467061 -0.875682
0.395742 1.346391 -0.971927
0.366184 1.372667 -0.905107
0.352015 1.417407 -0.938173
0.398889 1.327581 -0.961771
0.351019 1.428703 -0.818638
0.322117 1.475436 -0.809260
0.388379 1.339571 -0.996003
0.351869 1.409573 -0.860976
0.340563 1.465540 -0.749774
0.379428 1.372551 -0.762617
0.366250 1.388068 -0.831713
0.341044 1.443911 -0.809731
0.316146 1.587440 -0.699941
0.355198 1.435909 -0.720207
0.291990 1.575273 -0.559979
0.345591 1.539349 -0.465327
0.353065 1.490367 -0.545904
0.344403 1.529549 -0.542624
0.341603 1.490589 -0.541746
0.336232 1.487784 -0.578160
0.303399 1.560695 -0.546004
0.347014 1.444279 -0.676404
0.338899 1.532634 -0.414741
0.304762 1.603088 -0.424075
0.365655 1.414113 -0.664464
0.339296 1.488500 -0.610926
0.330099 1.528028 -0.434757
0.344378 1.486903 -0.410129
0.344647 1.469402 -0.537810
0.322772 1.516956 -0.524084
0.320030 1.539021 -0.463762
0.312835 1.541867 -0.504729
0.312623 1.557553 -0.461894
0.338563 1.514171 -0.544170
0.342279 1.531559 -0.470735
0.305256 1.561836 -0.416485
0.346485 1.473033 -0.498394
0.311085 1.561839 -0.437225
0.338001 1.506128 -0.489365
0.308174 1.583895 -0.433980
0.319380 1.530800 -0.451888
0.298644 1.587121 -0.419488
0.316311 1.545943 -0.458819
0.334995 1.507805 -0.503207
0.321132 1.531299 -0.480901
0.320325 1.538028 -0.403191
0.324116 1.548994 -0.387320
0.292115 1.630887 -0.283273
0.377138 1.425425 -0.598812
0.353891 1.476604 -0.433991
0.293754 1.591376 -0.371986
0.323618 1.545861 -0.331673
0.316562 1.545861 -0.380703
0.311054 1.563554 -0.424611
0.312108 1.561765 -0.412670
0.307957 1.570151 -0.411705
0.323454 1.526759 -0.411105
0.324156 1.560652 -0.403530
0.329068 1.532720 -0.365251
0.299741 1.583763 -0.412940
0.301534 1.581088 -0.362601
0.267322 1.675321 -0.311840
0.307801 1.585387 -0.332527
0.297209 1.600504 -0.334316
0.294268 1.617373 -0.276289
0.299967 1.608318 -0.345530
0.318805 1.543698 -0.418232
0.326425 1.510559 -0.454019
0.311995 1.573393 -0.379649
0.293211 1.603803 -0.303508
0.315721 1.561134 -0.354418
0.311091 1.572581 -0.375970
0.303766 1.581572 -0.331535
0.296344 1.619103 -0.245173
0.288288 1.642640 -0.289137
0.323033 1.536083 -0.391588
0.297242 1.633726 -0.244813
0.322477 1.532272 -0.435641
0.301966 1.602112 -0.314839
0.305827 1.563801 -0.365398
0.283155 1.635164 -0.325970
0.307804 1.574323 -0.360143
0.307440 1.579175 -0.388064
0.275487 1.671101 -0.232072
0.312775 1.563059 -0.332279
0.307483 1.570494 -0.393132
0.294743 1.598477 -0.378983
0.315752 1.574567 -0.340490
0.303844 1.609933 -0.365626
0.281062 1.667885 -0.258473
0.303414 1.570898 -0.359716
0.318526 1.544388 -0.389033
0.298949 1.594427 -0.318506
