4 3
0.543676 1.389893 -0.279228
0.679714 0.923889 -1.634248
0.632394 1.024422 -1.358980
0.643113 0.999942 -1.317985
0.840167 0.794825 -1.782032
0.930854 0.733379 -1.903642
1.036297 0.687333 -1.990402
1.054783 0.691011 -2.019958
1.092062 0.687559 -2.006672
1.057626 0.729527 -1.819056
0.867030 0.862927 -1.523908
1.006701 0.855188 -1.434828
0.925558 0.863136 -1.419300
0.870556 0.923134 -1.193620
0.872253 0.908726 -1.225887
0.760892 1.014504 -0.992118
0.914103 0.980804 -1.024463
0.887998 1.056249 -0.954095
0.825157 1.036216 -0.912535
0.721779 1.115609 -0.710150
0.749312 1.139281 -0.731080
0.745278 1.139458 -0.625071
0.772497 1.190476 -0.590393
0.621398 1.214389 -0.520293
0.675722 1.208550 -0.513510
0.673242 1.237736 -0.427940
0.767978 1.236080 -0.406771
0.771897 1.157380 -0.589959
0.745257 1.179205 -0.553246
0.729100 1.198457 -0.519559
0.751102 1.165418 -0.568691
0.669043 1.287944 -0.360978
0.671556 1.255711 -0.355525
0.730011 1.239379 -0.395187
0.749935 1.229862 -0.408470
0.734487 1.237778 -0.418755
0.665525 1.239804 -0.436725
0.687790 1.248608 -0.357722
0.643571 1.273749 -0.355965
0.678487 1.247266 -0.394235
0.630129 1.263459 -0.380922
0.738389 1.268560 -0.313387
0.605877 1.314439 -0.298245
0.620684 1.321179 -0.238794
0.702485 1.296163 -0.249590
0.718798 1.276039 -0.321810
0.658086 1.282101 -0.303436
0.642118 1.265160 -0.369100
0.616546 1.284702 -0.337254
0.720899 1.308831 -0.227408
0.558620 1.341666 -0.205630
0.710421 1.261700 -0.330823
0.610323 1.321308 -0.285876
0.589732 1.305534 -0.290309
0.775584 1.272845 -0.301764
0.632724 1.320404 -0.220707
0.620680 1.319111 -0.252578
0.652642 1.316466 -0.240402
0.678542 1.320701 -0.262630
0.718174 1.322527 -0.227954
0.658308 1.288811 -0.287022
0.588893 1.340366 -0.208461
0.730942 1.264039 -0.301808
0.599920 1.352401 -0.176151
0.619122 1.340967 -0.169091
0.598825 1.351712 -0.178980
0.725905 1.304531 -0.212847
0.606597 1.354060 -0.176152
0.637509 1.353212 -0.230993
0.584818 1.403899 -0.178751
0.680556 1.327120 -0.174055
0.763910 1.366282 -0.153142
0.750266 1.358001 -0.168665
0.723045 1.322524 -0.181342
0.572736 1.392161 -0.153939
0.695632 1.343679 -0.124853
0.676193 1.369661 -0.158971
0.779001 1.356211 -0.140876
0.658947 1.322239 -0.207146
0.664180 1.352259 -0.127319
0.604092 1.356788 -0.145238
0.634206 1.345544 -0.138764
0.722059 1.347440 -0.149457
